URL,GSC_Cliques,GSC_Posição,GSC_Impressões,GSC_CTR_%,Top_Keywords,Semrush_Visibilidade,Semrush_Ranking,GA4_Sessões,GA4_Usuários,GA4_Conversões,GA4_Conv_Rate_%,Engajamento_Segundos,Categoria,Prioridade,Status,Ação_Recomendada,Novo_URL_Estrutura
/contabilidade-lucro-real-gads/,N/A,N/A,N/A,N/A,lucro real;contabilidade especializada,N/A,N/A,5221,4802,549,2.5,23.81,Solução,CRÍTICA,⭐⭐⭐ PROTEGER,Manter URL exato (TOP CONVERTER),/solucoes/contabilidade-lucro-real/
/calculadora-lucro-real/,623,7.31,4682,13.31,calculadora lucro real;lucro real,0.47042,2,487,460,0,0,47.78,Ferramenta,CRÍTICA,⚠️ TRACKING GAP,Clarificar GA4 tracking + reforçar CTA,/ferramentas/calculadora-lucro-real/
/filmes-sobre-contabilidade-10-filmes-para-se-inspirar/,474,N/A,N/A,N/A,filmes contabilidade,N/A,N/A,899,327,0,0,61.31,Recursos,ALTA,⚠️ TRACKING GAP,Revisar conversão esperada,/recursos/videos-contabilidade/
/,N/A,24,N/A,N/A,osp contabilidade;contabilidade;são paulo,25.17,6,1216,1222,1,0.08,55.47,Homepage,CRÍTICA,🔴 NÃO CONVERTE,Reescrever com CTA forte,/
/segmentos/contabilidade-especializada-lucro-real/,N/A,19,N/A,N/A,contabilidade lucro real;especializada lucro real,1.36986,1,252,99,0,0,36.88,Segmento,ALTA,✅ FORTE,Manter ou otimizar,/segmentos/contabilidade-lucro-real/
/guia-pratico-para-migrar-para-o-lucro-real/,N/A,44.67,N/A,N/A,migração para lucro real,0.00413,2,123,48,0,0,158.33,Guia,ALTA,✅ ÓTIMO ENGAJAMENTO,Promover mais (alto tempo página),/guias/como-migrar-lucro-real/
/quando-vale-a-pena-migrar-para-o-lucro-real/,N/A,N/A,N/A,N/A,quando migrar lucro real,N/A,N/A,315,124,0,0,173.23,Guia,ALTA,✅ MELHOR ENGAJAMENTO,Promover mais + adicionar CTA,/guias/quando-migrar-lucro-real/
/contabilidade-lucro-real/,168,N/A,N/A,N/A,contabilidade lucro real,N/A,N/A,702,296,0,0,20.27,Solução,ALTA,⚠️ RANKING FRACO,Consolidar com /segmentos/contabilidade-especializada-lucro-real/ ?,/solucoes/contabilidade-lucro-real/
/tributacao-de-dividendos-o-que-muda-em-2026-e-como-se-preparar/,N/A,N/A,N/A,N/A,tributação dividendos,N/A,N/A,566,207,0,0,59.39,Blog,MÉDIA,✅ FORTE,Manter,/blog/tributacao-dividendos-2026/
/contato/,N/A,N/A,N/A,N/A,contato,N/A,N/A,537,206,0,0,24.60,Contato,ALTA,⚠️ VERIFICAR,Verificar se CTA é adequado,/contato/
/segmentos/assessoria-contabil-para-terceiro-setor/,N/A,N/A,N/A,N/A,terceiro setor,N/A,N/A,516,190,0,0,48.55,Segmento,MÉDIA,✅ FORTE,Manter,/segmentos/assessoria-terceiro-setor/
/contabilidade-industria-gads/,N/A,N/A,N/A,N/A,contabilidade indústria,N/A,N/A,450,192,2,0.44,11.78,Solução,ALTA,⭐ CONVERTER,Manter URL + reforçar CTA,/solucoes/contabilidade-industria/
/qual-a-diferenca-entre-mei-ei-me-epp-eireli-ltda-e-s-a/,N/A,N/A,N/A,N/A,tipos empresa,N/A,N/A,422,156,0,0,112.07,Blog,MÉDIA,✅ MUITO ENGAJADO,Promover mais,/blog/tipos-empresa-mei-ei-me/
/escritorio-de-contabilidade-em-campinas/,N/A,N/A,N/A,N/A,contabilidade campinas,N/A,N/A,382,124,0,0,47.23,Local,MÉDIA,✅ FORTE,Manter local pages,/locais/contabilidade-campinas/
/como-migrar-do-lucro-presumido-para-o-lucro-real/,N/A,N/A,N/A,N/A,migração lucro presumido,N/A,N/A,381,153,0,0,125.10,Guia,ALTA,✅ MUITO ENGAJADO,Promover + consolidar com guia geral,/guias/migrar-lucro-presumido-lucro-real/
/segmentos/contabilidade-especializada-em-transportadora/,N/A,N/A,N/A,N/A,contabilidade transportadora,N/A,N/A,372,126,0,0,56.13,Segmento,MÉDIA,✅ FORTE,Manter,/segmentos/contabilidade-transportadora/
/pagina-de-obrigado/,143,N/A,N/A,N/A,obrigado,N/A,N/A,143,46,17,11.89,6.93,Conversão,CRÍTICA,⭐ PROTEGER,Manter URL exato,/pagina-de-obrigado/
/pagina-de-obrigado-gads/,31,N/A,N/A,N/A,obrigado gads,N/A,N/A,31,11,2,6.45,7.91,Conversão,CRÍTICA,⭐ PROTEGER,Manter URL exato,/pagina-de-obrigado-gads/
/segmentos/contabilidade-especializada-em-ecommerce/,N/A,N/A,N/A,N/A,contabilidade ecommerce,N/A,N/A,308,113,0,0,35.27,Segmento,MÉDIA,✅ FORTE,Manter,/segmentos/contabilidade-ecommerce/
/blog/,208,N/A,N/A,N/A,blog,N/A,N/A,208,60,0,0,27.15,Índice,BAIXA,✅ OK,Manter,/blog/
/planejamento-tributario-estrategias-para-empresas-de-lucro-real-pagarem-menos-impostos/,N/A,N/A,N/A,N/A,planejamento tributário,N/A,N/A,128,50,0,0,61.22,Guia,MÉDIA,✅ FORTE,Manter,/guias/planejamento-tributario/
