Lista de páginas,Pessoa,Prazo,Status
Contabilidade Consultiva,OSP Mkt,,Concluído
Abertura de empresa Lucro Real e Lucro Presumido,,,
Gestão Estratégica de Negócio,OSP Mkt,,Concluído
Migração do Simples Nacional para LR ou LP,,,
Especialista alocado dentro do seu Negócio,,,
Planejamento e Proteção Patrimonial,,,
Contabilidade online,,,
Suporte para Fusoes e Aquisiçoes,OSP Mkt,,Concluído
Transfer Pricing,,,
Assessoria para Importação e exportação,,,
Revisão/Recuperação Tributária,,,
Recrutamento e seleção,,,
Contabilidade Mensal,OSP Mkt,,Concluído
