Lista de páginas,Status,Prazo,Pessoa
Contabilidade Mensal,Concluído,,OSP Mkt
Contabilidade Consultiva,Concluído,,OSP Mkt
Gestão Estratégica de Negócio,Concluído,,OSP Mkt
Suporte para Fusoes e Aquisiçoes,Concluído,,OSP Mkt
Contabilidade online,,,
Especialista alocado dentro do seu Negócio,,,
Abertura de empresa Lucro Real e Lucro Presumido,,,
Migração do Simples Nacional para LR ou LP,,,
Planejamento e Proteção Patrimonial,,,
Assessoria para Importação e exportação,,,
Revisão/Recuperação Tributária,,,
Recrutamento e seleção,,,
Transfer Pricing,,,
