Trimestre,2025,Status,TOTAL VENDAS,RECORRÊNCIA,META 1,STATUS META1,META BÔNUS,STATUS META BÔNUS
Q1,Janeiro,Concluído,"R$ 38.150,00","R$ 38.150,00","R$ 25.000,00","R$ 13.150,00","R$ 30.000,00","R$ 8.150,00"
Q1,Fevereiro,Concluído,"R$ 8.000,00","R$ 5.000,00","R$ 25.000,00","-R$ 20.000,00","R$ 30.000,00","-R$ 25.000,00"
Q1,Março,Concluído,"R$ 48.350,00","R$ 20.500,00","R$ 25.000,00","-R$ 4.500,00","R$ 30.000,00","-R$ 9.500,00"
Q2,Abril,Concluído,"R$ 37.000,00","R$ 19.000,00","R$ 25.000,00","-R$ 6.000,00","R$ 30.000,00","-R$ 11.000,00"
Q2,Maio,Concluído,"R$ 31.100,00","R$ 25.100,00","R$ 25.000,00","R$ 100,00","R$ 30.000,00","-R$ 4.900,00"
Q2,Junho,Concluído,"R$ 40.770,00","R$ 24.570,00","R$ 25.000,00","-R$ 430,00","R$ 30.000,00","-R$ 5.430,00"
Q3,Julho,Concluído,"R$ 22.000,00","R$ 12.000,00","R$ 25.000,00","-R$ 13.000,00","R$ 30.000,00","-R$ 18.000,00"
Q3,Agosto,Concluído,"R$ 77.000,00","R$ 29.800,00","R$ 25.000,00","R$ 4.800,00","R$ 30.000,00","-R$ 200,00"
Q3,Setembro,Concluído,"R$ 157.000,00","R$ 98.000,00","R$ 30.000,00","R$ 68.000,00","R$ 35.000,00","R$ 63.000,00"
Q4,Outubro,Concluído,"R$ 122.650,00","R$ 29.500,00","R$ 30.000,00","-R$ 500,00","R$ 40.000,00","-R$ 10.500,00"
Q4,Novembro,Não iniciado,,,"R$ 30.000,00","-R$ 30.000,00","R$ 40.000,00","-R$ 40.000,00"
Q4,Dezembro,Não iniciado,,,"R$ 30.000,00","-R$ 30.000,00","R$ 40.000,00","-R$ 40.000,00"
