Mês,Semana,Conversões,Taxa de Conversão,Custo / conv.,Custo,Novos leads totais
Janeiro,Semana de 15 de jan. de 2024,4,"1,04","R$ 324,19","R$ 1.296,78",
Janeiro,Semana de 8 de jan. de 2024,4,"1,87","R$ 194,12","R$ 776,47",
Janeiro,Semana de 1 de jan. de 2024,0,0,"R$ 0,00","R$ 0,00",
Fevereiro,Semana de 5 de fev. de 2024,8,"2,45","R$ 146,12","R$ 1.168,94",
Janeiro,Semana de 22 de jan. de 2024,10,"2,18","R$ 153,17","R$ 1.531,68",
Janeiro,Semana de 29 de jan. de 2024,5,"1,41","R$ 239,96","R$ 1.199,78",
Fevereiro,Semana de 19 de fev. de 2024,"7,94","4,05","R$ 57,93","R$ 460,05",
Fevereiro,Semana de 26 de fev. de 2024,4,"1,73","R$ 139,38","R$ 557,50",
Fevereiro,Semana de 12 de fev. de 2024,8,"3,17","R$ 105,80","R$ 846,36",
Abril,Semana de 1 de abr. de 2024,"1,43","0,96","R$ 372,60","R$ 534,51",
Março,Semana de 4 de mar. de 2024,"4,69","2,14","R$ 134,81","R$ 632,67",
Abril,Semana de 8 de abr. de 2024,"4,49","2,65","R$ 143,60","R$ 644,28",
Março,Semana de 25 de mar. de 2024,"4,02","2,92","R$ 106,67","R$ 429,22",
Março,Semana de 18 de mar. de 2024,"3,33",2,"R$ 196,13","R$ 653,54",
Março,Semana de 11 de mar. de 2024,"2,66","1,5","R$ 197,89","R$ 527,27",
Abril,Semana de 15 de abr. de 2024,"1,92","1,18","R$ 305,16","R$ 584,89",
Abril,Semana de 29 de abr. de 2024,"1,17","0,71","R$ 511,55","R$ 596,81",
Maio,Semana de 13 de mai. de 2024,"0,58","0,38","R$ 932,74","R$ 544,10",
Maio,Semana de 20 de mai. de 2024,"2,62","1,9","R$ 185,47","R$ 486,13",
Abril,Semana de 22 de abr. de 2024,"3,52","1,92","R$ 183,50","R$ 645,71",
Maio,Semana de 6 de mai. de 2024,"1,33","0,9","R$ 427,51","R$ 570,01",
Maio,Semana de 27 de mai. de 2024,"1,58","1,48","R$ 348,21","R$ 551,34",
Julho,Semana de 29 de jul. de 2024,13,"2,17","R$ 141,49","R$ 1.839,39",
Junho,Semana de 17 de jun. de 2024,"2,73","5,68","R$ 122,82","R$ 334,84",
Junho,Semana de 24 de jun. de 2024,3,"2,78","R$ 241,84","R$ 725,51",
Julho,Semana de 22 de jul. de 2024,3,"0,67","R$ 565,58","R$ 1.696,75",
Junho,Semana de 10 de jun. de 2024,"5,76","5,23","R$ 130,73","R$ 752,78",
Junho,Semana de 3 de jun. de 2024,"4,23","3,18","R$ 162,23","R$ 686,79",
Julho,Semana de 8 de jul. de 2024,10,"0,38","R$ 156,83","R$ 1.568,33",
Julho,Semana de 15 de jul. de 2024,11,"0,56","R$ 151,22","R$ 1.663,47",
Julho,Semana de 1 de jul. de 2024,1,"0,91","R$ 833,97","R$ 833,97",
Agosto,Semana de 5 de ago. de 2024,12,"2,25","R$ 158,26","R$ 1.899,11",
Setembro,Semana de 2 de set. de 2024,17,"1,36","R$ 73,07","R$ 1.242,20",
Setembro,Semana de 23 de set. de 2024,15,"1,06","R$ 71,62","R$ 1.074,34",
Setembro,Semana de 30 de set. de 2024,20,"1,67","R$ 67,93","R$ 1.358,62",
Outubro,Semana de 14 de out. de 2024,19,"1,71","R$ 59,24","R$ 1.125,51",
Outubro,Semana de 7 de out. de 2024,11,"0,89","R$ 115,93","R$ 1.275,21",
Agosto,Semana de 19 de ago. de 2024,10,"1,76","R$ 170,63","R$ 1.706,29",
Setembro,Semana de 9 de set. de 2024,12,"2,43","R$ 90,25","R$ 1.083,04",
Agosto,Semana de 12 de ago. de 2024,14,"1,3","R$ 150,58","R$ 2.108,15",
Outubro,Semana de 21 de out. de 2024,15,"0,65","R$ 86,10","R$ 1.291,57",
Setembro,Semana de 16 de set. de 2024,21,"1,25","R$ 55,94","R$ 1.174,74",
Agosto,Semana de 26 de ago. de 2024,13,"1,92","R$ 109,39","R$ 1.422,04",
Novembro,Semana de 4 de nov. de 2024,9,"0,63","R$ 155,11","R$ 1.396,00",
Outubro,Semana de 28 de out. de 2024,19,"1,81","R$ 46,29","R$ 879,51",
Novembro,Semana de 11 de nov. de 2024,15,"1,38","R$ 70,83","R$ 1.062,46",
Novembro,Semana de 25 de nov. de 2024,15,"1,81","R$ 71,44","R$ 1.071,56",
Novembro,Semana de 18 de nov. de 2024,13,"1,34","R$ 99,08","R$ 1.288,09",
Dezembro,"
dom., 1 de dez. de 2024
",0,0,"R$ 0,00","R$ 0,00",
Dezembro,"
seg., 2 de dez. de 2024
",7,"0,7","R$ 57,19","R$ 400,35",
Dezembro,"
ter., 3 de dez. de 2024
",1,"5,26","R$ 234,04","R$ 234,04",
Dezembro,"
qua., 4 de dez. de 2024
",2,"11,11","R$ 102,46","R$ 204,91",
Dezembro,"
qui., 5 de dez. de 2024
",4,"16,67","R$ 39,52","R$ 158,10",
Dezembro,"
sex., 6 de dez. de 2024
",3,"14,29","R$ 49,80","R$ 149,39",
Dezembro,"
sáb., 7 de dez. de 2024
",0,0,"R$ 0,00","R$ 0,00",
Dezembro,"
dom., 8 de dez. de 2024
",0,0,"R$ 0,00","R$ 0,00",
Dezembro,"
seg., 9 de dez. de 2024
",6,"0,55","R$ 81,37","R$ 488,20",
Dezembro,"
ter., 10 de dez. de 2024
",1,"2,94","R$ 225,08","R$ 225,08",
Dezembro,"
qua., 11 de dez. de 2024
",3,"17,65","R$ 73,65","R$ 220,95",
Dezembro,"
qui., 12 de dez. de 2024
",0,0,"R$ 0,00","R$ 197,21",
Dezembro,"
sex., 13 de dez. de 2024
",2,"11,11","R$ 97,09","R$ 194,19",
Dezembro,"
sáb., 14 de dez. de 2024
",0,0,"R$ 0,00","R$ 0,00",
Dezembro,"
dom., 15 de dez. de 2024
",0,0,"R$ 0,00","R$ 0,00",
