Indicadores,Valor,Etapas do Funil,Mudança de Perfil,Texto
PROPOSTAS ENVIADAS,13,Proposta Enviada,Proposta Enviada,
PROPOSTAS DESCARTADAS,7,Proposta Enviada,Descartado,Veja descartadors no forecast
NOVOS LEADS,94,Pré-venda,Lead,
FORA DO ICP,3,Oportunidade,,
NÚMERO DE PRODUTOS VENDIDOS,6,Cliente,,Cadplast comprou 2
LIGAÇÕES ATENDIDAS,316,Pré-venda,,
REUNIÕES AGENDADAS,20,Oportunidade,Oportunidade,
DENTRO DO ICP,17,Oportunidade,,
LIGAÇÕES REALIZADAS,454,Pré-venda,,
NÚMERO DE CLIENTES,5,Cliente,Cliente,
