Indicadores,Etapas do Funil,Mudança de Perfil,Texto,Valor
PROPOSTAS ENVIADAS,Proposta Enviada,Proposta Enviada,,13
PROPOSTAS DESCARTADAS,Proposta Enviada,Descartado,Veja descartadors no forecast,7
NOVOS LEADS,Pré-venda,Lead,,94
FORA DO ICP,Oportunidade,,,3
NÚMERO DE PRODUTOS VENDIDOS,Cliente,,Cadplast comprou 2,6
LIGAÇÕES ATENDIDAS,Pré-venda,,,316
REUNIÕES AGENDADAS,Oportunidade,Oportunidade,,20
DENTRO DO ICP,Oportunidade,,,17
LIGAÇÕES REALIZADAS,Pré-venda,,,454
NÚMERO DE CLIENTES,Cliente,Cliente,,5
