Títulos,Canais,Conteúdo,Criado por,Data Gravação,Data Publicação,Estratégia,Link Video,Número,Tarefas,Última edição
Lucro Real não é problema. É a chave do crescimento.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,OMV (Objeção / Mito / Verdade),,,Gravação,12 de novembro de 2025 17:04
Você acha que está no regime certo? Talvez esteja perdendo dinheiro e nem sabe.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,30/10/2025,,IAP (Identidade / Autoridade / Prova),,,Edição,30 de outubro de 2025 09:27
Planejamento fiscal não é luxo. É o que separa quem cresce de quem fecha.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,VideoCast,,,Gravação,12 de novembro de 2025 17:04
"O que chamam de planejamento tributário… na verdade, é improviso.","Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,OMV (Objeção / Mito / Verdade),,,Gravação,12 de novembro de 2025 17:04
O maior custo da sua empresa não é imposto. É a desorganização.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,30/10/2025,13/11/2025,OMV (Objeção / Mito / Verdade),https://drive.google.com/file/d/1DzQebdC1Aanzk7SjMJsr4vmbM8w6D8k4/view?usp=drive_link,28,Publicado,12 de novembro de 2025 17:09
Enquanto o mercado leva 90 dias pra organizar sua contabilidade… a gente entrega em 45.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,VideoCast,,,Gravação,12 de novembro de 2025 17:04
Contador não é só para imposto.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,OMV (Objeção / Mito / Verdade),,,Gravação,12 de novembro de 2025 17:04
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
O que você não vê está custando caro.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,VideoCast,,,Gravação,12 de novembro de 2025 17:04
Atendimento estratégico não é responder WhatsApp. É entender o negócio.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,30/10/2025,,TMV  (Transformação / Movimento / Visão),,,Edição,30 de outubro de 2025 09:25
Crescer sem números é receita para o caos.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,OMV (Objeção / Mito / Verdade),,,Gravação,12 de novembro de 2025 17:04
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
Expandir sem estratégia pode matar seu negócio.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,TMV  (Transformação / Movimento / Visão),,,Gravação,12 de novembro de 2025 17:04
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
Lucro na planilha não é lucro de verdade.,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,30/10/2025,14/11/2025,TMV  (Transformação / Movimento / Visão),https://drive.google.com/file/d/1pOWjkfk59aEtkoGsk9Kx-heaDeodFDKI/view?usp=drive_link,29,Estoque,12 de novembro de 2025 17:10
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
,"Instagram, LinkedIn",Reels,Arthur Ferreira -OSP,,,,,,Estratégia,29 de outubro de 2025 12:52
