Nome do Conteúdo,Status,Data Gravação,Formato,Canais,Criado por,Data Publicação,Link Video,Número,Tema,Última edição
OSP: A Revolução Contábil que Está Transformando o Mercado de Negócios no Brasil,Publicado,14/04/2025,Video,"Facebook, Instagram",OSP Mkt,16/05/2025,https://drive.google.com/file/d/1cPdCIkDT7EI2x1YCHm2OJk8XI3_zw9VT/view?usp=drive_link,,,18 de agosto de 2025 17:07
Sua Indústria Está Perdendo Dinheiro Sem Saber!,Estoque,18/07/2025,Video,,OSP Mkt,,,,,29 de outubro de 2025 12:52
Você precisa Parar de Ignorar o Planejamento Tributário!,Publicado,28/03/2025,Video,"Facebook, Instagram",OSP Mkt,21/05/2025,https://drive.google.com/file/d/1qeI5-xk5C2gMrRu7eXv92ASWC_Eyv3Sv/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Jonas, CEO da OSP: A Mente Por Trás da Transformação Empresarial",Publicado,14/04/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,13/05/2025,https://drive.google.com/file/d/1AOFe7dakxluLTHSd2c9aU5VbWVxhq2u7/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Lucro Real: O Maior Mistério
das Empresas Brasileiras!",Gravação,,Video,,Arthur Ferreira -OSP,,,,,7 de agosto de 2025 23:10
Expandindo para o Brasil? O que as multinacionais de sucesso fazem de diferente,Publicado,28/03/2025,Video,"Facebook, Instagram, LinkedIn",Arthur Ferreira -OSP,03/06/2025,https://drive.google.com/file/d/1XUAF36mOwlZDA-CmX5Gq9IGv_Kwc8_q2/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Você Está Subestimando o
Poder da Inteligência de
Negócios!",Publicado,28/03/2025,Video,"Facebook, Instagram, LinkedIn",Arthur Ferreira -OSP,06/06/2025,https://drive.google.com/file/d/1Ay-LotMpdMAttyZjbrJ4kcQI-VHu9M6Y/view?usp=drive_link,,,18 de agosto de 2025 17:07
"Contabilidade NÃO é só pagar imposto! ",Publicado,28/03/2025,Video,"Facebook, Instagram, LinkedIn",Arthur Ferreira -OSP,23/06/2025,https://drive.google.com/file/d/1Ek4RwWMEYxrcOKf764ZFNawQq9QZp35z/view?usp=drive_link,,,18 de agosto de 2025 17:07
Seu contador não te conta ISSO… e você está perdendo dinheiro!,Publicado,28/03/2025,Video,"Facebook, Instagram, LinkedIn",Arthur Ferreira -OSP,13/06/2025,https://drive.google.com/file/d/1Ab2CmM6oPvhoLXvM8O-NKbf3ISzKPsCE/view?usp=drive_link,,,18 de agosto de 2025 17:07
Seu contador pode estar custando caro demais para sua empresa!,Publicado,28/03/2025,Video,"Facebook, Instagram",Arthur Ferreira -OSP,26/05/2025,https://drive.google.com/file/d/14NxTPQ64bpS7UADaTW5NJ0NwTt3NqwEA/view?usp=drive_link,,,18 de agosto de 2025 17:07
