Tipo de tarefa,Página,Texto,Status,Funil,"URL ",Data
Atualização,Home,,Não iniciada,Institucional,,
Atualização,Sobre Nós,,Não iniciada,Institucional,,
Atualização,Segmentos,,Não iniciada,Institucional,,
Atualização,Faça Parte,,Não iniciada,Institucional,,
Atualização,Contato,,Não iniciada,Institucional,,
Atualização,Materiais,Isca digital,Não iniciada,Landing,,
Atualização,"Serviços ",São 18 páginas com SEO,Não iniciada,Institucional,,
Atualização,Contabilidade Lucro Real,Focada em GADS,Em andamento,GADS,,
Atualização,Contabilidade para Indústria,Focada em GADS,Em andamento,GADS,https://ospcontabilidade.com.br/segmentos/contabilidade-industria/,
Atualização,Contabilidade para Multinacionais,Subnicho,Em andamento,Landing,https://ospcontabilidade.com.br/segmentos/contabilidade-multinacional/,
Atualização,Contabilidade para Distribuidoras e Empresas de Logística,Subnicho,Em andamento,Landing,https://ospcontabilidade.com.br/segmentos/contabilidade-multinacional/,
Atualização,Contabilidade para Farmácia,Subnicho,Não iniciada,Landing,https://ospcontabilidade.com.br/segmentos/contabilidade-farmacias-manipulacao/,
Atualização,Contabilidade para Comércio,Subnicho,Não iniciada,Landing,https://ospcontabilidade.com.br/segmentos/contabilidade-para-comercio/,
Atualização,Contabilidade para Supermercado,Subnicho,Não iniciada,Landing,,
Atualização,Contabilidade para Transportadora,Subnicho,Não iniciada,Landing,,
Atualização,Blog,Portal de Conteúdo,Não iniciada,SEO,https://ospcontabilidade.com.br/blog/,
Nova página,Resultados,Novo posicionamento,Não iniciada,Institucional,,
Nova página,FUNDAR360,Novo posicionamento,Não iniciada,Landing,,
Nova página,TRIBUTA360,Novo posicionamento,Não iniciada,Landing,,
Nova página,GESTÃO360,Novo posicionamento,Não iniciada,Landing,,
Nova página,PRECIFICA360,Novo posicionamento,Não iniciada,Landing,,
Nova página,HOLDING360,Novo posicionamento,Não iniciada,Landing,,
Nova página,BPO Financeiro ,Novo posicionamento,Não iniciada,Landing,,
Nova página,"Contabilidade Standard ",Novo posicionamento,Não iniciada,Landing,,
Nova página,Contabilidade Consultiva,Novo posicionamento,Não iniciada,Landing,,
