Página,Data,Funil,Status,Texto,Tipo de tarefa,"URL "
Home,,Institucional,Não iniciada,,Atualização,
Sobre Nós,,Institucional,Não iniciada,,Atualização,
Contato,,Institucional,Não iniciada,,Atualização,
"Serviços ",,Institucional,Não iniciada,São 18 páginas com SEO,Atualização,
Segmentos,,Institucional,Não iniciada,,Atualização,
Resultados,,Institucional,Não iniciada,Novo posicionamento,Nova página,
Faça Parte,,Institucional,Não iniciada,,Atualização,
Contabilidade Lucro Real,,GADS,Em andamento,Focada em GADS,Atualização,
Contabilidade para Indústria,,GADS,Em andamento,Focada em GADS,Atualização,https://ospcontabilidade.com.br/segmentos/contabilidade-industria/
FUNDAR360,,Landing,Não iniciada,Novo posicionamento,Nova página,
TRIBUTA360,,Landing,Não iniciada,Novo posicionamento,Nova página,
GESTÃO360,,Landing,Não iniciada,Novo posicionamento,Nova página,
BPO Financeiro ,,Landing,Não iniciada,Novo posicionamento,Nova página,
PRECIFICA360,,Landing,Não iniciada,Novo posicionamento,Nova página,
HOLDING360,,Landing,Não iniciada,Novo posicionamento,Nova página,
"Contabilidade Standard ",,Landing,Não iniciada,Novo posicionamento,Nova página,
Contabilidade Consultiva,,Landing,Não iniciada,Novo posicionamento,Nova página,
Contabilidade para Multinacionais,,Landing,Em andamento,Subnicho,Atualização,https://ospcontabilidade.com.br/segmentos/contabilidade-multinacional/
Contabilidade para Farmácia,,Landing,Não iniciada,Subnicho,Atualização,https://ospcontabilidade.com.br/segmentos/contabilidade-farmacias-manipulacao/
Contabilidade para Comércio,,Landing,Não iniciada,Subnicho,Atualização,https://ospcontabilidade.com.br/segmentos/contabilidade-para-comercio/
Contabilidade para Supermercado,,Landing,Não iniciada,Subnicho,Atualização,
Contabilidade para Transportadora,,Landing,Não iniciada,Subnicho,Atualização,
Materiais,,Landing,Não iniciada,Isca digital,Atualização,
Blog,,SEO,Não iniciada,Portal de Conteúdo,Atualização,https://ospcontabilidade.com.br/blog/
Contabilidade para Distribuidoras e Empresas de Logística,,Landing,Em andamento,Subnicho,Atualização,https://ospcontabilidade.com.br/segmentos/contabilidade-multinacional/
