Ano,Status de Revisão,Data,Nome do Modelo,URL,ICP,Categoria
2025,Em andamento,23/12/2024,Contabilidade para Lucro Real - Modelo 2025,https://docs.google.com/document/d/1_qGlJE7dQTaPRIzK6pvrpfeIi0daflsQogrhaAx5h5M/edit?tab=t.0,Lucro Real,Escopo de Produto
2025,Não iniciada,,Abertura de Empresa no Brasil - 2025,https://docs.google.com/document/d/1vUmDML_Ra2neNtlW-9JZQcCKNx4uQp1FinV9PNs6CMQ/edit?tab=t.0#heading=h.4xlc5g4a9qw0,Multinacionais,Escopo de Produto
2025,Não iniciada,,Abertura de Empresa - 2025,https://docs.google.com/document/d/1y7YHHal_l5LUzKqXYDJHidkohiOojzcdt-4FG7jY6iQ/edit?tab=t.0#heading=h.bpbt6b2vk7ud,Geral,Escopo de Produto
2025,Não iniciada,,Planejamento Sucessório e Holding Familiar - 2025,https://docs.google.com/document/d/1xzv-x4LNDfYjFrphRJYM0zhlUJov0CBqO70o97wPqO8/edit?tab=t.0#heading=h.78cbdgv093zm,Geral,Escopo de Produto
2025,Não iniciada,,Holding Familiar Simplificada - 2025,https://docs.google.com/document/d/11fcPaSUz4iP689Y3K_5J0UNPKdyd2dQdmVtsPLARx6E/edit?tab=t.0#heading=h.flbhcb8vn86,Geral,Escopo de Produto
2025,Não iniciada,,Financial BPO - 2025,https://docs.google.com/document/d/1TeuYivbHhWL9Zn0lziKbOQQI-yQZateoQULl7l0GI-g/edit?tab=t.0#heading=h.ks7a1862fe5e,Multinacionais,Escopo de Produto
2025,Não iniciada,,Commercial Proposal for Monthly Accounting for Multinational Companies - 2025,https://docs.google.com/document/d/1OafQO3WXVjmpsYmriD5WJJ6Ei8YDQrZri12_s_uYw4w/edit?tab=t.0#heading=h.l26pvgdwofii,Multinacionais,Escopo de Produto
2025,Não iniciada,,Business Proposal for Establishing a Company in Brazil - 2025,https://docs.google.com/document/d/1SRkFoBV2mxWs32W6P-jpP7jLfw1nfD6Z534AJC0gats/edit?tab=t.0#heading=h.3jmkfigaworv,Multinacionais,Escopo de Produto
2025,Não iniciada,,BPO Financeiro - 2025,https://docs.google.com/document/d/1mItydETdFtIa2jCer5mELShu4y68rsGn94CwJyhZT5U/edit?tab=t.0#heading=h.b1wptz6irnhx,Geral,Escopo de Produto
2025,Não iniciada,,Contabilidade para Simples e Presumido - MODELO DE PROPOSTA 2025,https://docs.google.com/document/d/1IBc1tr3nwvkKcX7B2HkfVDjuu4bA1LbRwq-c4mJhLAo/edit?tab=t.0,Simples Nacional ou Lucro Presumido,Escopo de Produto
2025,Não iniciada,,Sobre nós - PT,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0,Geral,Apresentação
2025,Não iniciada,,Sobre nós - EN,https://docs.google.com/document/d/1xiSGb1brogSgI_zZdOau85rXkOj3B4z8KZFd7N7cu8o/edit?tab=t.0,Geral,Apresentação
