Nome do Modelo,Ano,Categoria,Data,ICP,Status de Revisão,URL
Contabilidade para Lucro Real - Modelo 2025,2025,Escopo de Produto,23/12/2024,Lucro Real,Em andamento,https://docs.google.com/document/d/1_qGlJE7dQTaPRIzK6pvrpfeIi0daflsQogrhaAx5h5M/edit?tab=t.0
Contabilidade Consultiva - Indústrias,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/18fuDLg-e1VuglYtAmfGaprW5c5k11zH3Hv-bEHyKgvc/edit?tab=t.0
Sobre nós - EN,2025,Apresentação,,Geral,Não iniciada,https://docs.google.com/document/d/1xiSGb1brogSgI_zZdOau85rXkOj3B4z8KZFd7N7cu8o/edit?tab=t.0
PT - Sobre nós (multinacionais),2024,Apresentação,,Multinacionais,Não iniciada,https://docs.google.com/document/d/1O9mdc93o4evHyyzvtrrA9EWuygzUGsavsjCf8yEbDKk/edit?tab=t.0
Sobre nós - PT,2025,Apresentação,,Geral,Não iniciada,https://docs.google.com/document/d/12svc2pU6uexH6jcfhKr9xfun8TRjMGxxJ5OPevzIY_U/edit?tab=t.0
Consultoria 360 - Gestão e Inteligência Industrial,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1J5GIpqjC5xDOGTVVk4lNBmUWs4-UfF0MI56ncZMb2ec/edit?tab=t.0
Abertura de empresa e Contabilidade mensal indústria,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1AtBjqmDBrfipycUPuM12infjQMKZbpE9g2olArS29R0/edit?tab=t.0
Contabilidade Mensal - Construtoras e Incorporadoras,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1LH8JcQftRWcKjxB4nCiKpSzOWE22E4DcS4XA84wQ6xI/edit?tab=t.0
Contabilidade Mensal - Indústrias,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1eOOCnrdpvahl5IOr7VH7x07acOiR8rAnPXwEvBtMDUY/edit?tab=t.0
Gestão Estratégica de Negócio,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1UyrSMEKlB5wR0DoX1ra40h5I157Zp5shCMBGcMQVkog/edit?tab=t.0
BPO Financeiro - Indústrias,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1qp6BFcOl9P85j4M_70LnsoOaCKkuIr3_Xmwqo-qUySo/edit?tab=t.0
Análise de Tributação - Indústrias,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/12TCGzNxczk11T9DkGA9l2NRkH3yHHzoyL6ZQiooKJNo/edit?tab=t.0
Abertura de Holding e Contabilidade Mensal,2024,Escopo de Produto,,Indústrias,Não iniciada,https://docs.google.com/document/d/1DdKw0472bSQBWi7DNWmNonT_Li8V97cpTcljU15F1ew/edit?tab=t.0
Contabilidade Consultiva - Terceiro Setor,2024,Escopo de Produto,,Terceiro Setor,Não iniciada,https://docs.google.com/document/d/173mFVUyLT0j9a8kbORCZVH-_n-ot9xl2bEhu8hN0qEE/edit?tab=t.0
Contabilidade Consultiva- Serviços,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1tWwyvCSnyuTHj2DyNLW1nSdrh9gRNdpASWH2UQsIadQ/edit?tab=t.0
Abertura de empresa e contabilidade mensal - Serviços,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1AAjr5hJvCW4uFS5or8z5dsAtfDyXTvzEhAXYSqFmMJM/edit?tab=t.0
Contabilidade Mensal - Serviços,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1d2e2mjQAYiu3erH_B4rT89BD1d2tZNt5slFM-bX83LE/edit?tab=t.0
Estratégia de Negócio e Governança Contábil - Construtora e Incorporadora,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1i_xoVQcHtKp5wC6ZYSP_8EqcOobUdznmc9AYhip_jyg/edit?tab=t.0
Contabilidade Mensal - Serviços Advocatícios,2024,Escopo de Produto,,Serviços,Não iniciada,https://docs.google.com/document/d/1tTafdJu4rK3BwIh7HypmpoSKL4Ryu8l86qpTxa1aRqk/edit?tab=t.0
