Lista de páginas,Pessoa,Prazo,Status
Contabilidade Mensal,OSP Mkt,,Concluído
Contabilidade Consultiva,OSP Mkt,,Concluído
Gestão Estratégica de Negócio,OSP Mkt,,Concluído
Suporte para Fusoes e Aquisiçoes,OSP Mkt,,Concluído
Transfer Pricing,,,
Especialista alocado dentro do seu Negócio,,,
Abertura de empresa Lucro Real e Lucro Presumido,,,
Migração do Simples Nacional para LR ou LP,,,
Planejamento e Proteção Patrimonial,,,
Contabilidade online,,,
Assessoria para Importação e exportação,,,
Revisão/Recuperação Tributária,,,
Recrutamento e seleção,,,
