Indicadores,Valor,Etapas do Funil,Mudança de Perfil,Texto
DENTRO DO ICP,11,Oportunidade,,
LIGAÇÕES REALIZADAS,866,Pré-venda,,
PROPOSTAS DESCARTADAS,7,Proposta Enviada,Descartado,Veja descartadors no forecast
LIGAÇÕES ATENDIDAS,560,Pré-venda,,
FORA DO ICP,5,Oportunidade,,
REUNIÕES AGENDADAS,16,Oportunidade,Oportunidade,
NOVOS LEADS,82,Pré-venda,Lead,
PROPOSTAS ENVIADAS,23,Proposta Enviada,Proposta Enviada,
NÚMERO DE PRODUTOS VENDIDOS,5,Cliente,,Kimchi comprou 2
NÚMERO DE CLIENTES,4,Cliente,Cliente,
