Indicadores,Etapas do Funil,Mudança de Perfil,Texto,Valor
DENTRO DO ICP,Oportunidade,,,11
LIGAÇÕES REALIZADAS,Pré-venda,,,866
PROPOSTAS DESCARTADAS,Proposta Enviada,Descartado,Veja descartadors no forecast,7
LIGAÇÕES ATENDIDAS,Pré-venda,,,560
FORA DO ICP,Oportunidade,,,5
REUNIÕES AGENDADAS,Oportunidade,Oportunidade,,16
NOVOS LEADS,Pré-venda,Lead,,82
PROPOSTAS ENVIADAS,Proposta Enviada,Proposta Enviada,,23
NÚMERO DE PRODUTOS VENDIDOS,Cliente,,Kimchi comprou 2,5
NÚMERO DE CLIENTES,Cliente,Cliente,,4
