Semana,Conversões,Custo,Custo / conv.,Mês,Novos leads totais,Taxa de Conversão
Semana de 15 de jan. de 2024,4,"R$ 1.296,78","R$ 324,19",Janeiro,,"1,04"
Semana de 8 de jan. de 2024,4,"R$ 776,47","R$ 194,12",Janeiro,,"1,87"
Semana de 1 de jan. de 2024,0,"R$ 0,00","R$ 0,00",Janeiro,,0
Semana de 5 de fev. de 2024,8,"R$ 1.168,94","R$ 146,12",Fevereiro,,"2,45"
Semana de 22 de jan. de 2024,10,"R$ 1.531,68","R$ 153,17",Janeiro,,"2,18"
Semana de 29 de jan. de 2024,5,"R$ 1.199,78","R$ 239,96",Janeiro,,"1,41"
Semana de 19 de fev. de 2024,"7,94","R$ 460,05","R$ 57,93",Fevereiro,,"4,05"
Semana de 26 de fev. de 2024,4,"R$ 557,50","R$ 139,38",Fevereiro,,"1,73"
Semana de 12 de fev. de 2024,8,"R$ 846,36","R$ 105,80",Fevereiro,,"3,17"
Semana de 1 de abr. de 2024,"1,43","R$ 534,51","R$ 372,60",Abril,,"0,96"
Semana de 4 de mar. de 2024,"4,69","R$ 632,67","R$ 134,81",Março,,"2,14"
Semana de 8 de abr. de 2024,"4,49","R$ 644,28","R$ 143,60",Abril,,"2,65"
Semana de 25 de mar. de 2024,"4,02","R$ 429,22","R$ 106,67",Março,,"2,92"
Semana de 18 de mar. de 2024,"3,33","R$ 653,54","R$ 196,13",Março,,2
Semana de 11 de mar. de 2024,"2,66","R$ 527,27","R$ 197,89",Março,,"1,5"
Semana de 15 de abr. de 2024,"1,92","R$ 584,89","R$ 305,16",Abril,,"1,18"
Semana de 29 de abr. de 2024,"1,17","R$ 596,81","R$ 511,55",Abril,,"0,71"
Semana de 13 de mai. de 2024,"0,58","R$ 544,10","R$ 932,74",Maio,,"0,38"
Semana de 20 de mai. de 2024,"2,62","R$ 486,13","R$ 185,47",Maio,,"1,9"
Semana de 22 de abr. de 2024,"3,52","R$ 645,71","R$ 183,50",Abril,,"1,92"
Semana de 6 de mai. de 2024,"1,33","R$ 570,01","R$ 427,51",Maio,,"0,9"
Semana de 27 de mai. de 2024,"1,58","R$ 551,34","R$ 348,21",Maio,,"1,48"
Semana de 29 de jul. de 2024,13,"R$ 1.839,39","R$ 141,49",Julho,,"2,17"
Semana de 17 de jun. de 2024,"2,73","R$ 334,84","R$ 122,82",Junho,,"5,68"
Semana de 24 de jun. de 2024,3,"R$ 725,51","R$ 241,84",Junho,,"2,78"
Semana de 22 de jul. de 2024,3,"R$ 1.696,75","R$ 565,58",Julho,,"0,67"
Semana de 10 de jun. de 2024,"5,76","R$ 752,78","R$ 130,73",Junho,,"5,23"
Semana de 3 de jun. de 2024,"4,23","R$ 686,79","R$ 162,23",Junho,,"3,18"
Semana de 8 de jul. de 2024,10,"R$ 1.568,33","R$ 156,83",Julho,,"0,38"
Semana de 15 de jul. de 2024,11,"R$ 1.663,47","R$ 151,22",Julho,,"0,56"
Semana de 1 de jul. de 2024,1,"R$ 833,97","R$ 833,97",Julho,,"0,91"
Semana de 5 de ago. de 2024,12,"R$ 1.899,11","R$ 158,26",Agosto,,"2,25"
Semana de 2 de set. de 2024,17,"R$ 1.242,20","R$ 73,07",Setembro,,"1,36"
Semana de 23 de set. de 2024,15,"R$ 1.074,34","R$ 71,62",Setembro,,"1,06"
Semana de 30 de set. de 2024,20,"R$ 1.358,62","R$ 67,93",Setembro,,"1,67"
Semana de 14 de out. de 2024,19,"R$ 1.125,51","R$ 59,24",Outubro,,"1,71"
Semana de 7 de out. de 2024,11,"R$ 1.275,21","R$ 115,93",Outubro,,"0,89"
Semana de 19 de ago. de 2024,10,"R$ 1.706,29","R$ 170,63",Agosto,,"1,76"
Semana de 9 de set. de 2024,12,"R$ 1.083,04","R$ 90,25",Setembro,,"2,43"
Semana de 12 de ago. de 2024,14,"R$ 2.108,15","R$ 150,58",Agosto,,"1,3"
Semana de 21 de out. de 2024,15,"R$ 1.291,57","R$ 86,10",Outubro,,"0,65"
Semana de 16 de set. de 2024,21,"R$ 1.174,74","R$ 55,94",Setembro,,"1,25"
Semana de 26 de ago. de 2024,13,"R$ 1.422,04","R$ 109,39",Agosto,,"1,92"
Semana de 4 de nov. de 2024,9,"R$ 1.396,00","R$ 155,11",Novembro,,"0,63"
Semana de 28 de out. de 2024,19,"R$ 879,51","R$ 46,29",Outubro,,"1,81"
Semana de 11 de nov. de 2024,15,"R$ 1.062,46","R$ 70,83",Novembro,,"1,38"
Semana de 25 de nov. de 2024,15,"R$ 1.071,56","R$ 71,44",Novembro,,"1,81"
Semana de 18 de nov. de 2024,13,"R$ 1.288,09","R$ 99,08",Novembro,,"1,34"
"
dom., 1 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
seg., 2 de dez. de 2024
",7,"R$ 400,35","R$ 57,19",Dezembro,,"0,7"
"
ter., 3 de dez. de 2024
",1,"R$ 234,04","R$ 234,04",Dezembro,,"5,26"
"
qua., 4 de dez. de 2024
",2,"R$ 204,91","R$ 102,46",Dezembro,,"11,11"
"
qui., 5 de dez. de 2024
",4,"R$ 158,10","R$ 39,52",Dezembro,,"16,67"
"
sex., 6 de dez. de 2024
",3,"R$ 149,39","R$ 49,80",Dezembro,,"14,29"
"
sáb., 7 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
dom., 8 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
seg., 9 de dez. de 2024
",6,"R$ 488,20","R$ 81,37",Dezembro,,"0,55"
"
ter., 10 de dez. de 2024
",1,"R$ 225,08","R$ 225,08",Dezembro,,"2,94"
"
qua., 11 de dez. de 2024
",3,"R$ 220,95","R$ 73,65",Dezembro,,"17,65"
"
qui., 12 de dez. de 2024
",0,"R$ 197,21","R$ 0,00",Dezembro,,0
"
sex., 13 de dez. de 2024
",2,"R$ 194,19","R$ 97,09",Dezembro,,"11,11"
"
sáb., 14 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
dom., 15 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
seg., 16 de dez. de 2024
",17,"R$ 398,07","R$ 23,42",Dezembro,,"1,78"
"
ter., 17 de dez. de 2024
",1,"R$ 153,15","R$ 153,15",Dezembro,,5
"
qua., 18 de dez. de 2024
",2,"R$ 189,95","R$ 94,98",Dezembro,,10
"
qui., 19 de dez. de 2024
",0,"R$ 183,68","R$ 0,00",Dezembro,,0
"
sex., 20 de dez. de 2024
",1,"R$ 113,55","R$ 113,55",Dezembro,,"6,25"
"
sáb., 21 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
dom., 22 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
"
seg., 23 de dez. de 2024
",14,"R$ 492,97","R$ 35,21",Dezembro,,"1,41"
"
ter., 24 de dez. de 2024
",0,"R$ 30,75","R$ 0,00",Dezembro,,0
"
qua., 25 de dez. de 2024
",0,"R$ 37,78","R$ 0,00",Dezembro,,0
"
qui., 26 de dez. de 2024
",0,"R$ 410,40","R$ 0,00",Dezembro,,0
"
sex., 27 de dez. de 2024
",1,"R$ 342,29","R$ 342,29",Dezembro,,"3,03"
"
sáb., 28 de dez. de 2024
",0,"R$ 0,00","R$ 0,00",Dezembro,,0
