Indicadores,Valor,Etapas do Funil,Mudança de Perfil,Texto
PROPOSTAS DESCARTADAS,6,Proposta Enviada,Descartado,https://www.notion.so/8b1a86791ab54dea83a4918bb13762f7?pvs=21
DENTRO DO ICP,18,Oportunidade,,
PROPOSTAS ENVIADAS,23,Proposta Enviada,Proposta Enviada,
LIGAÇÕES ATENDIDAS,759,Pré-venda,,
NÚMERO DE CLIENTES,4,Cliente,Cliente,
FORA DO ICP,6,Oportunidade,,
NÚMERO DE PRODUTOS VENDIDOS,5,Cliente,,
LIGAÇÕES REALIZADAS,1230,Pré-venda,,
NOVOS LEADS,76,Pré-venda,Lead,
REUNIÕES AGENDADAS,24,Oportunidade,Oportunidade,
