Indicadores,Etapas do Funil,Mudança de Perfil,Texto,Valor
PROPOSTAS DESCARTADAS,Proposta Enviada,Descartado,https://www.notion.so/8b1a86791ab54dea83a4918bb13762f7?pvs=21,6
DENTRO DO ICP,Oportunidade,,,18
PROPOSTAS ENVIADAS,Proposta Enviada,Proposta Enviada,,23
LIGAÇÕES ATENDIDAS,Pré-venda,,,759
NÚMERO DE CLIENTES,Cliente,Cliente,,4
FORA DO ICP,Oportunidade,,,6
NÚMERO DE PRODUTOS VENDIDOS,Cliente,,,5
LIGAÇÕES REALIZADAS,Pré-venda,,,1230
NOVOS LEADS,Pré-venda,Lead,,76
REUNIÕES AGENDADAS,Oportunidade,Oportunidade,,24
